Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M06;40,724
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M05;50,646
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M04;37,763
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M03;50,638
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M02;45,909
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2006M01;38,583
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M12;36,685
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M11;48,600
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M10;47,734
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M09;34,917
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M08;9,962
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M07;14,846
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M06;44,211
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M05;49,459
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M04;46,782
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M03;44,084
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M02;43,898
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2005M01;40,827
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M12;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M11;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M10;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M09;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M08;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M07;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M06;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M05;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M04;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M03;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M02;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2004M01;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M12;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M11;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M10;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M09;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M08;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M07;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M06;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M05;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M04;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M03;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M02;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2003M01;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M12;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M11;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M10;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M09;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M08;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M07;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M06;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M05;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M04;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M03;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M02;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2002M01;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M12;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M11;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M10;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M09;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M08;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M07;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M06;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M05;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M04;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M03;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M02;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2001M01;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M12;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M11;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M10;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M09;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M08;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M07;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M06;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M05;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M04;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M03;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M02;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;2000M01;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M12;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M11;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M10;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M09;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M08;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M07;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M06;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M05;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M04;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M03;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M02;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1999M01;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1998M12;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1998M11;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1998M10;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1998M09;""
Total passengers;Special and unscheduled transport;Special;;;Passengers transported;1998M08;""
